[08:16:19] [chat] 채널  찾아줘 — 규칙서:1, 범용:0
[08:16:46] [chat] 채ㅓㄹ  찾아줘 — 규칙서:1, 범용:0
[08:17:07] [chat] 유튜브 채널 찾아줘 — 규칙서:1, 범용:0
[08:22:07] [chat] 현자의거울 — 규칙서:1, 범용:0
[08:22:46] [chat] 유튜브 벤치마킹  채널을 5개 찾아줘 — 규칙서:1, 범용:0
[08:47:00] [chat] 구독자 1만 이하, 조회수 10만 이상 심리학 유튜브  — 규칙서:1, 범용:0
[08:54:40] [chat] 구독자 1만 이하, 조회수 10만 이상 심리학 유튜브  — 규칙서:1, 범용:0
[10:57:58] [external] Tavily_구독자 1만 이하, 조회수 10만 이상 심리학 유튜브  — Raw:1, Wiki:1, 범용:3
[10:57:58] [external] YouTube채널_구독자 1만 이하, 조회수 10만 이 — Raw:1, Wiki:1, 범용:3
[10:57:58] [external] 구독자 1만 이하, 조회수 10만 이상 심리학 유튜브 채널 국내외 찾아줘 — Raw:1, Wiki:1, 범용:3
[11:12:50] [external] YouTube채널_구독자 1만 이하, 조회수 10만 이 — Raw:1, Wiki:1, 범용:3
[11:12:50] [external] 구독자 1만 이하, 조회수 10만 이상 심리학 유튜브 채널 국내외 찾아줘 — Raw:1, Wiki:1, 범용:3
[11:25:44] [external] Tavily_구독자 1만 이하, 조회수 10만 이상 심리학 유튜브  — Raw:1, Wiki:1, 범용:3
[11:25:44] [external] YouTube채널_구독자 1만 이하, 조회수 10만 이 — Raw:1, Wiki:0, 범용:2
[11:25:44] [external] 구독자 1만 이하, 조회수 10만 이상 심리학 유튜브 채널 국내외 찾아줘 — Raw:1, Wiki:1, 범용:3
[13:41:05] [external] Tavily_구독자 1만 이하, 조회수 10만 이상 심리학 유튜브  — Raw:1, Wiki:1, 범용:3
[13:41:05] [external] YouTube채널_구독자 1만 이하, 조회수 10만 이 — Raw:1, Wiki:1, 범용:3
[13:41:05] [external] 구독자 1만 이하, 조회수 10만 이상 심리학 유튜브 채널 국내외 찾아줘 — Raw:1, Wiki:1, 범용:3
[14:41:25] [external] Tavily_구독자 1만 이하, 조회수 10만 이상 심리학 유튜브  — Raw:1, Wiki:1, 범용:3
[14:41:25] [external] YouTube채널_구독자 1만 이하, 조회수 10만 이 — Raw:1, Wiki:0, 범용:2
[14:47:49] [external] 구독자 1만 이하, 조회수 10만 이상 심리학 유튜브 채널 국내외 찾아줘 — Raw:1, Wiki:1, 범용:3
[15:13:21] [external] Tavily_구독자 1만 이하, 조회수 10만 이상 심리학 유튜브  — Raw:1, Wiki:1, 범용:3
[15:13:21] [external] 구독자 1만 이하, 조회수 10만 이상 심리학 유튜브 채널 국내외 찾아줘 — Raw:1, Wiki:1, 범용:3
[15:22:30] [external] 구독자 1만 이하, 조회수 10만 이상 심리학 유튜브 채널 국내외 찾아줘 — Raw:1, Wiki:1, 범용:3
[15:40:29] [external] 구독자 1만 이하, 조회수 10만 이상 심리학 유튜브 채널 국내외 찾아줘 — Raw:1, Wiki:1, 범용:3
